c_fullname	agg_count	agg_date
\ACT\Demographics\	124140	2021-02-04 00:00:00.000
\ACT\Demographics\Age\< 18 years old\	19977	2021-02-04 00:00:00.000
\ACT\Demographics\Age\>= 90 years old\	10618	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\01 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\04 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\15 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\31 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\10-17 years old\14 years old\	1231	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\31 years old\	1460	2021-02-04 00:00:00.000
\ACT\Demographics\Age\35-44 years old\	12941	2021-02-04 00:00:00.000
\ACT\Demographics\Age\35-44 years old\37 years old\	1293	2021-02-04 00:00:00.000
\ACT\Demographics\Age\35-44 years old\43 years old\	1237	2021-02-04 00:00:00.000
\ACT\Demographics\Age\45-54 years old\	15596	2021-02-04 00:00:00.000
\ACT\Demographics\Age\45-54 years old\46 years old\	1450	2021-02-04 00:00:00.000
\ACT\Demographics\Age\55-64 years old\57 years old\	1702	2021-02-04 00:00:00.000
\ACT\Demographics\Age\55-64 years old\61 years old\	1486	2021-02-04 00:00:00.000
\ACT\Demographics\Age\55-64 years old\64 years old\	1568	2021-02-04 00:00:00.000
\ACT\Demographics\Age\65-74 years old\67 years old\	1225	2021-02-04 00:00:00.000
\ACT\Demographics\Age\65-74 years old\71 years old\	1112	2021-02-04 00:00:00.000
\ACT\Demographics\Age\65-74 years old\72 years old\	1122	2021-02-04 00:00:00.000
\ACT\Demographics\Age\75-84 years old\	9095	2021-02-04 00:00:00.000
\ACT\Demographics\Age\85-89 years old\89 years old\	653	2021-02-04 00:00:00.000
\ACT\Demographics\Age\>= 18 years old\	104164	2021-02-04 00:00:00.000
\ACT\Demographics\Age\>= 65 years old\	35055	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\	10072	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\11 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\17 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\25 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\33 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\6 years old\	1061	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\	24435	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\18 years old\	1325	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\19 years old\	1400	2021-02-04 00:00:00.000
\ACT\Demographics\Age\35-44 years old\38 years old\	1280	2021-02-04 00:00:00.000
\ACT\Demographics\Age\35-44 years old\40 years old\	1290	2021-02-04 00:00:00.000
\ACT\Demographics\Age\55-64 years old\56 years old\	1699	2021-02-04 00:00:00.000
